Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
108837184,108837184,1,0,0,0.028050203
61892096,61892096,1,0,0,0.028050203
16909205,16909205,1,0,0,0.028050203
12836362,12836362,1,0,0,0.028050203
233084299,233084299,1,0,0,0.028050203
16322345,16322345,1,0,0,0.028050203
14606097,14606097,1,0,0,0.028050203
243382666,243382666,1,0,0,0.028050203
160658467,160658467,1,0,0,0.028050203
57325778,57325778,1,0,0,0.028050203
15182402,15182402,1,0,0,0.028050203
8621252,8621252,1,0,0,0.028050203
151171508,151171508,1,0,0,0.028050203
15952700,15952700,1,0,0,0.028050203
222671927,222671927,1,0,0,0.028050203
96383712,96383712,1,0,0,0.028050203
176864114,176864114,1,0,0,0.028050203
61253490,61253490,1,0,0,0.028050203
18577850,18577850,1,0,0,0.028050203
39982144,39982144,1,0,0,0.028050203
248885042,248885042,1,0,0,0.028050203
75496778,75496778,1,0,0,0.028050203
250138470,250138470,1,0,0,0.028050203
22925291,22925291,2,0,0,0.056100407
49939129,49939129,1,0,0,0.028050203
69232407,69232407,1,0,0,0.028050203
1196381,1196381,1,0,0,0.028050203
132512775,132512775,1,0,0,0.028050203
49331874,49331874,1,0,0,0.028050203
35057432,35057432,1,0,0,0.028050203
14786623,14786623,1,0,0,0.028050203
20344331,20344331,3,0,0,0.08415061
15504989,15504989,2,0,0,0.056100407
146475348,146475348,1,0,0,0.028050203
29883095,29883095,1,0,0,0.028050203
18586937,18586937,1,0,0,0.028050203
21059938,21059938,1,0,0,0.028050203
122023482,122023482,1,0,0,0.028050203
26737455,26737455,1,0,0,0.028050203
10190682,10190682,1,0,0,0.028050203
95073976,95073976,1,0,0,0.028050203
73278032,73278032,1,0,0,0.028050203
47584981,47584981,1,0,0,0.028050203
94551454,94551454,1,0,0,0.028050203
135143751,135143751,26,1.166666667,0,0
82987284,82987284,1,0,0,0.028050203
65585789,65585789,1,0,0,0.028050203
18921369,18921369,2,1,1,0.028050203
226532789,226532789,2,0,0,0.146331977
150055836,150055836,3,0,0,0.08415061
126484403,126484403,2,0,0,0.056100407
28751191,28751191,2,0,0,0.146331977
42071968,42071968,1,0,0,0.028050203
98932269,98932269,3,1.5,4,0.056100407
166100753,166100753,1,0,0,0.028050203
241262304,241262304,1,0,0,0.028050203
247214739,247214739,1,0,0,0.028050203
127489106,127489106,1,0,0,0.028050203
101854466,101854466,1,0,0,0.028050203
45567561,45567561,1,0,0,0.028050203
39154970,39154970,1,0,0,0.028050203
31909616,31909616,1,0,0,0.028050203
40144459,40144459,1,0,0,0.028050203
144174237,144174237,1,0,0,0.028050203
33634858,33634858,1,0,0,0.028050203
118200548,118200548,1,0,0,0.028050203
159644072,159644072,24,1,0,0
247443672,247443672,1,0,0,0.028050203
18526792,18526792,5,0,0,0.140251017
18474972,18474972,1,0,0,0.028050203
218158653,218158653,1,0,0,0.028050203
8127782,8127782,1,0,0,0.028050203
120526828,120526828,1,0,0,0.028050203
2787081,2787081,1,0,0,0.028050203
248948844,248948844,1,0,0,0.028050203
112917034,112917034,1,0,0,0.028050203
46774746,46774746,1,0,0,0.028050203
25787404,25787404,1,0,0,0.028050203
176463229,176463229,1,0,0,0.028050203
63062491,63062491,1,0,0,0.028050203
148478489,148478489,1,0,0,0.028050203
215251958,215251958,1,0,0,0.028050203
242882473,242882473,1,0,0,0.028050203
244029932,244029932,1,0,0,0.028050203
160703588,160703588,1,0,0,0.028050203
221146229,221146229,1,0,0,0.028050203
46397752,46397752,2,0,0,0.056100407
20659839,20659839,6,1,0,0
69663763,69663763,1,0,0,0.028050203
231029041,231029041,3,0,0,0.08415061
230715785,230715785,1,0,0,0.028050203
67124564,67124564,1,0,0,0.028050203
26457416,26457416,1,0,0,0.028050203
145188800,145188800,2,1,0,0
216171128,216171128,2,0,0,0.056100407
226574221,226574221,1,1,0,0
19533773,19533773,2,0,0,0.056100407
78728798,78728798,2,1,0,0.028050203
246206665,246206665,4,0,0,0.760426631
9055752,9055752,22,1.214285714,0,0
133122437,133122437,1,0,0,0.028050203
14192933,14192933,1,0,0,0.028050203
151167139,151167139,3,0,0,0.08415061
64023468,64023468,3,0,0,0.354845322
5427612,5427612,1,0,0,0.028050203
54339521,54339521,1,0,0,0.028050203
196305992,196305992,1,0,0,0.028050203
70422459,70422459,1,0,0,0.028050203
98966729,98966729,1,0,0,0.028050203
170940824,170940824,1,0,0,0.028050203
246887179,246887179,1,0,0,0.028050203
192174338,192174338,1,0,0,0.028050203
75033178,75033178,1,0,0,0.028050203
243173514,243173514,1,0,0,0.028050203
18484673,18484673,1,1,0,0
17703122,17703122,3,0,0,0.08415061
26580562,26580562,3,1,2,0.056100407
44122178,44122178,1,0,0,0.208513344
17043155,17043155,43,1.085106383,0,0
39839409,39839409,1,0,0,0.028050203
65898327,65898327,1,0,0,0.028050203
199924232,199924232,1,0,0,0.028050203
138128834,138128834,1,0,0,0.028050203
25584105,25584105,4,0,0,0.202432384
20618608,20618608,1,0,0,0.028050203
14930551,14930551,1,0,0,0.028050203
48658712,48658712,2,0,0,0.056100407
19425222,19425222,4,0,0,0.112200814
48798211,48798211,1,0,0,0.028050203
79586144,79586144,2,0,0,0.056100407
8026562,8026562,1,0,0,0.028050203
244811156,244811156,7,1,12,0.08415061
35535969,35535969,2,0,0,0.056100407
