Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
1365,1365,2,6.540784137,2218,2.19E-04,0.015390577
3685,3685,2,5.340694006,135968.2341,2.04E-04,0.020724346
23632,23632,2,6.533573682,5431.642907,0.00109307,0.020131757
23646,23646,1,6.541685444,0,3.56E-04,0.01353014
23648,23648,5,6.064443443,28969.7448,8.69E-04,0.025379538
23650,23650,2,6.490761604,16565.29327,2.14E-04,0.02152537
23705,23705,2,6.474988734,20893.61511,3.22E-04,0.025610964
23734,23734,2,6.529968454,9020.32606,0.003081372,0.041091217
23922,23922,1,6.541685444,0,3.56E-04,0.01353014
23626,23626,7,5.997296079,133832.7242,0.007052546,0.104342616
1202,1202,2,6.956286616,97830,2.22E-04,0.01802557
6558,6558,2,6.892744479,28044.7748,2.15E-04,0.020130805
23861,23861,1,6.996845426,0,3.63E-04,0.01267782
4759,4759,4,6.880576836,11730.46619,3.67E-04,0.016339453
23817,23817,3,6.0522758,13739.89977,0.002242548,0.026308391
23827,23827,4,6.907616043,9212.15309,0.001361185,0.021690824
23666,23666,1,7.540333484,0,0.002491076,0.022097093
23708,23708,7,7.314105453,19433.09606,0.007772469,0.126579108
23714,23714,2,8.048219919,0,2.14E-04,0.021931685
23718,23718,9,7.484001803,37583.99802,0.00516815,0.084727578
23756,23756,2,8.048219919,0,2.14E-04,0.021931685
23811,23811,2,8.312753493,413.8423993,2.19E-04,0.014348555
33430,33430,2,8.048219919,0,2.14E-04,0.021931685
79172,79172,2,8.048219919,0,2.14E-04,0.021931685
23818,23818,2,8.482649842,239.8309524,2.17E-04,0.010811632
24266,24266,13,8.466426318,24154.68772,0.001363733,0.021351986
23719,23719,2,7.635872014,22.47907093,2.02E-04,0.004304469
35186,35186,2,7.675529518,1.833333333,2.06E-04,0.006327097
23721,23721,8,6.676881478,6583.59826,0.003148182,0.0405599
817,817,2,7.634520054,0,1.99E-04,0.008354411
21217,21217,3,6.44569626,20290.90174,2.83E-04,0.022461068
24596,24596,13,6.637223975,30205.35836,0.001205873,0.023934077
